Date mutation,Valeur fonciere,Commune,Code departement,Type local,Surface reelle bati,Nombre pieces principales,année,prix_m2
26/11/2021,531000.0,CANNES,06,Appartement,93.0,4.0,2021,5709.677419354839
20/08/2021,187000.0,ST-PHILBERT-SUR-RISLE,27,Maison,68.0,3.0,2021,2750.0
16/07/2021,87500.0,VALENCIENNES,59,Appartement,62.0,3.0,2021,1411.2903225806451
29/07/2021,160000.0,VEAUCHE,42,Maison,59.0,3.0,2021,2711.864406779661
30/08/2021,1000000.0,RAIZEUX,78,Maison,82.0,5.0,2021,12195.121951219513
09/03/2021,172500.0,FORTAN,41,Maison,131.0,6.0,2021,1316.793893129771
20/01/2021,160000.0,NEXON,87,Appartement,84.0,3.0,2021,1904.7619047619048
21/09/2021,190000.0,CHALLANS,85,Appartement,60.0,3.0,2021,3166.6666666666665
19/05/2021,745000.0,SAINT-DIDIER-AU-MONT-D OR,69,Maison,111.0,3.0,2021,6711.711711711711
28/09/2021,110000.0,ARGENTONNAY,79,Maison,123.0,5.0,2021,894.3089430894308
24/08/2021,368900.0,FONTENAY-SOUS-BOIS,94,Appartement,86.0,4.0,2021,4289.53488372093
07/12/2021,244000.0,BELGENTIER,83,Maison,87.0,4.0,2021,2804.597701149425
14/09/2021,427000.0,OLORON SAINTE MARIE,64,Appartement,79.0,3.0,2021,5405.06329113924
24/08/2021,244400.0,BEAUGENCY,45,Maison,122.0,4.0,2021,2003.27868852459
11/03/2021,276500.0,AJACCIO,2A,Appartement,97.0,4.0,2021,2850.5154639175257
01/04/2021,176122.0,QUEYSSAC,24,Maison,121.0,5.0,2021,1455.5537190082644
30/12/2021,114660.0,COULOMMIERS,77,Appartement,66.0,3.0,2021,1737.2727272727273
03/06/2021,300000.0,BORGO,2B,Maison,100.0,4.0,2021,3000.0
02/08/2021,100000.0,AVIGNON,84,Maison,57.0,3.0,2021,1754.3859649122808
29/11/2021,320000.0,SAINT-GEORGES-SUR-L AA,59,Maison,125.0,6.0,2021,2560.0
30/04/2021,124000.0,VITRY EN ARTOIS,62,Maison,106.0,5.0,2021,1169.811320754717
02/07/2021,205000.0,CHANTILLY,60,Appartement,40.0,2.0,2021,5125.0
09/07/2021,77200.0,SEGRE-EN-ANJOU BLEU,49,Maison,101.0,4.0,2021,764.3564356435644
15/10/2021,550000.0,BRUGUIERES,31,Maison,74.0,4.0,2021,7432.4324324324325
21/07/2021,173000.0,BOIS D ARCY,78,Appartement,58.0,3.0,2021,2982.7586206896553
10/06/2021,96000.0,ALBIEZ-MONTROND,73,Appartement,36.0,3.0,2021,2666.6666666666665
22/12/2021,235000.0,MAROMME,76,Maison,105.0,5.0,2021,2238.095238095238
02/09/2021,170000.0,BENET,85,Maison,140.0,4.0,2021,1214.2857142857142
07/04/2021,494200.0,VERSAILLES,78,Appartement,118.0,5.0,2021,4188.135593220339
02/07/2021,150467.0,SAINT-FLORENT-SUR-CHER,18,Maison,140.0,6.0,2021,1074.7642857142857
19/08/2021,160500.0,LA SALVETAT ST GILLES,31,Appartement,62.0,3.0,2021,2588.7096774193546
19/07/2021,1645600.0,BOULOGNE-BILLANCOURT,92,Maison,130.0,5.0,2021,12658.461538461539
30/03/2021,50000.0,LOGUIVY-PLOUGRAS,22,Maison,79.0,1.0,2021,632.9113924050633
11/06/2021,308000.0,MONTLUCON,03,Appartement,30.0,1.0,2021,10266.666666666666
15/04/2021,220000.0,PONTAULT COMBAULT,77,Appartement,37.0,2.0,2021,5945.945945945946
20/08/2021,150000.0,SABLE SUR SARTHE,72,Maison,73.0,4.0,2021,2054.794520547945
27/05/2021,160000.0,SAINT-DIDIER-SUR-CHALARONNE,01,Maison,110.0,3.0,2021,1454.5454545454545
23/01/2021,177000.0,VERNON,27,Maison,74.0,3.0,2021,2391.891891891892
05/02/2021,84000.0,SAINT-GAUDENS,31,Appartement,50.0,2.0,2021,1680.0
22/12/2021,273000.0,BLAINVILLE-SUR-MER,50,Maison,82.0,5.0,2021,3329.268292682927
22/06/2021,60000.0,CHALUS,87,Maison,131.0,5.0,2021,458.01526717557255
04/06/2021,245800.0,REIMS,51,Maison,64.0,4.0,2021,3840.625
23/03/2021,47000.0,VILLARS,42,Appartement,59.0,3.0,2021,796.6101694915254
02/07/2021,173000.0,NANTES,44,Appartement,50.0,2.0,2021,3460.0
23/01/2021,160000.0,BENERVILLE-SUR-MER,14,Appartement,52.0,4.0,2021,3076.923076923077
15/12/2021,92000.0,LENS,62,Maison,134.0,5.0,2021,686.5671641791045
29/12/2021,505000.0,AUZOUVILLE-SUR-RY,76,Maison,243.0,6.0,2021,2078.1893004115227
